DataStream, TIMESTAMP_start, TIMESTAMP_end, parameter, colnumber, flag, notes
CAT, 2018-07-05 00:00:00 EST, 2018-08-28 14:30:00 EST, EXO_Date, 21, 4, internally logged data; different format than when logging with CR6
CAT, 2018-07-05 00:00:00 EST, 2018-08-28 14:30:00 EST, EXO_Time, 22, 4, internally logged data; different format than when logging with CR6
CAT, 2018-07-05 00:00:00 EST, 2018-08-20 14:40:00 EST, doobs_9, 18, 3, incorrectly calibrated; needs correcting to match factory value
CAT, 2018-11-19 12:00:00 EST, 2018-11-19 13:50:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2018-12-17 10:20:00 EST, 2018-12-17 13:15:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-01-15 12:50:00 EST, 2019-01-15 13:10:00 EST, All_Cat, c(1:41), 1, sensor_string_up_for_cleaning_EXO_only
CAT, 2019-02-08 12:50:00 EST, 2019-02-08 13:10:00 EST, All_Cat, c(1:41), 1, sensor_string_up
CAT, 2019-04-15 09:50:00 EST, 2019-04-15 09:50:00 EST, All_Cat, c(1:41), 4, switched_time_GMT-4_to_GMT-5
CAT, 2019-06-17 11:10:00 EST, 2019-06-17 11:20:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-07-17 11:50:00 EST, 2019-07-17 11:50:00 EST, All_Cat, c(1:41), 4, sensor string disturbed during field work
CAT, 2019-07-17 12:35:00 EST, 2019-07-17 12:45:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-08-12 12:40:00 EST, 2019-08-12 12:50:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-09-27 12:25:00 EST, 2019-09-27 12:35:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-10-07 09:30:00 EST, 2019-10-07 10:00:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2019-10-11 11:00:00 EST, 2019-10-11 12:10:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-01-31 12:00:00 EST, 2020-01-31 12:20:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-03-06 10:20:00 EST, 2020-03-06 11:00:00 EST, All_Cat, c(1:41), 1, sensor string up for installing CO2 sensors
CAT, 2020-03-16 11:50:00 EST, 2020-03-16 12:10:00 EST, All_Cat, c(21:39), 4, EXO up for cleaning NEED TIME if applicable
CAT, 2020-04-10 12:01:00 EST, 2020-04-10 12:02:00 EST, All_Cat, c(1:41), 4, CO2 surface sensors moved onto temp string
CAT, 2020-04-10 12:01:00 EST, 2020-04-10 12:02:00 EST, All_Cat, c(1:41), 4, scan deployed at 4.5m
CAT, 2020-04-20 12:01:00 EST, 2020-04-20 12:02:00 EST, All_Cat, c(1:41), 4, scans cleaned temp string not recorded as cleaned
CAT, 2020-04-24 11:50:00 EST, 2020-04-24 12:10:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-05-11 10:20:00 EST, 2020-05-11 11:40:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-05-15 15:11:00 EST, 2020-05-15 15:12:00 EST, All_Cat, 40, 4, added in pressure transducer at 9m
CAT, 2020-05-15 15:11:00 EST, 2020-05-15 15:12:00 EST, All_Cat, 41, 4, added in pressure transducer at 9m
CAT, 2020-05-15 12:00:00 EST, 2020-05-15 12:05:00 EST, All_Cat, c(1:41), 1, sensor string up for installing pressure transducer and cleaning
CAT, 2020-05-18 09:50:00 EST, 2020-05-18 10:10:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-05-25 10:20:00 EST, 2020-05-25 11:00:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-06-01 10:21:00 EST, 2020-06-08 11:00:00 EST, All_Cat, c(24:26), 5, high conductivity event with no explanantion NEED DATE AND TIME FIX
CAT, 2020-06-08 12:30:00 EST, 2020-06-08 13:00:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
CAT, 2020-06-12 10:25:00 EST, 2020-06-12 10:45:00 EST, All_Cat, c(1:41), 1, sensor string up for cleaning
