"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20201022.CR6","5131","Catwalk"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
2021-03-15 10:10:00,2433,13.9,13.13,8.473688,7.92785,7.83413,7.450464,6.434656,5.945032,5.743677,5.649744,5.581506,5.5216,12.16898,97.64884,5.953796,10.46421,83.07476,5.533394,210315,100848,7.864,21.37,31.76,20.64,108.71,12.92,6.29,25.4,0.44,0.33,4.38,13.09,2.38,1.479,5.78,12.91,1.21
2021-03-15 10:20:00,2434,13.95,13.15,8.459192,7.948694,7.828424,7.357934,6.56643,5.918817,5.716699,5.646478,5.578729,5.527094,12.23865,97.96638,5.856773,10.61048,84.24118,5.535851,210315,101848,7.902,21.38,31.75,20.64,109.22,12.97,4.96,19.99,0.49,0.38,4.38,13.1,2.39,1.483,5.78,12.95,1.2
2021-03-15 10:30:00,2435,13.9,13.23,8.446589,7.958521,7.787012,7.383966,6.792962,5.990076,5.709039,5.643823,5.56936,5.517328,12.24842,98.24628,5.937721,10.96208,87.02548,5.532562,210315,102848,7.923,21.42,31.79,20.66,109.41,12.98,4.11,16.55,0.39,0.29,4.38,13.09,2.38,1.48,5.77,12.92,1.21
2021-03-15 10:40:00,2436,13.95,13.39,8.403772,7.967737,7.731592,7.430353,6.663904,5.923303,5.707696,5.645013,5.584009,5.520746,12.30714,98.50566,5.853149,11.16291,88.59651,5.522339,210315,103848,7.888,21.38,31.76,20.64,109.45,13,4.5,18.14,0.38,0.27,4.38,13.1,2.39,1.482,5.78,12.93,1.2
2021-03-15 10:50:00,2437,13.95,13.48,8.375238,7.956537,7.748956,7.510309,6.629816,5.956781,5.724512,5.658929,5.591638,5.523218,12.35584,98.93128,5.867447,11.24911,89.28214,5.522987,210315,104848,7.826,21.36,31.78,20.66,109.19,12.99,5.03,20.3,0.42,0.31,4.42,13.21,2.39,1.482,5.78,12.94,1.21
2021-03-15 11:00:00,2438,13.93,13.48,8.344141,7.949975,7.734887,7.44729,6.632867,5.993219,5.781122,5.668054,5.5953,5.538904,12.34763,99.1473,5.979553,11.27496,89.5188,5.536697,210315,105848,7.858,21.37,31.77,20.65,109.24,12.98,5.06,20.42,0.42,0.32,4.4,13.14,2.39,1.482,5.78,12.94,1.2
2021-03-15 11:10:00,2439,13.92,13.5,8.257166,7.922479,7.754114,7.403039,6.673273,6.024652,5.770196,5.671808,5.595728,5.53512,12.38563,99.4562,5.981033,11.31367,89.82113,5.534554,210315,110848,7.857,21.4,31.82,20.68,109.19,12.98,4.5,18.13,0.41,0.3,4.41,13.16,2.39,1.482,5.78,12.92,1.21
2021-03-15 11:20:00,2440,13.93,13.49,8.203882,7.936212,7.762658,7.339197,6.701349,6.023523,5.76803,5.67251,5.597558,5.557947,12.46384,100.1328,6.000221,11.28535,89.6111,5.540977,210315,111848,7.865,21.42,31.84,20.7,109.34,12.99,5,20.18,0.41,0.31,4.39,13.13,2.38,1.48,5.78,12.93,1.2
