"TOA5","8321","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20240305_chlatest.CR6","4835","EXO_Chla_overlap"
"TIMESTAMP","RECORD","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","Chla_RFU_test","Chla_ugL_test","BGAPC_RFU_test","BGAPC_ugL_test","EXO_wtr_1"
"TS","RN","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-01 00:00:00",39661,4.78,19.12,1.36,1.27,"NAN","NAN","NAN","NAN",3.957
"2026-01-01 00:10:00",39662,4.35,17.39,1.2,1.12,"NAN","NAN","NAN","NAN",3.96
"2026-01-01 00:20:00",39663,4.28,17.11,1.26,1.17,"NAN","NAN","NAN","NAN",3.966
"2026-01-01 00:30:00",39664,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2026-01-01 00:40:00",39665,4.61,18.45,1.33,1.24,"NAN","NAN","NAN","NAN",3.96
"2026-01-01 00:50:00",39666,3.86,15.42,1.17,1.09,"NAN","NAN","NAN","NAN",3.937
"2026-01-01 01:00:00",39667,5,20.01,1.2,1.12,"NAN","NAN","NAN","NAN",3.943
"2026-01-01 01:10:00",39668,3.99,15.96,1.09,1.01,"NAN","NAN","NAN","NAN",3.945
"2026-01-01 01:20:00",39669,5.18,20.73,1.4,1.31,"NAN","NAN","NAN","NAN",3.948
"2026-01-01 01:30:00",39670,4.63,18.54,1.34,1.26,"NAN","NAN","NAN","NAN",3.941
"2026-01-01 01:40:00",39671,4.7,18.79,1.42,1.33,"NAN","NAN","NAN","NAN",3.953
"2026-01-01 01:50:00",39672,4.78,19.11,1.4,1.31,"NAN","NAN","NAN","NAN",3.937
"2026-01-01 02:00:00",39673,4.89,19.57,1.47,1.38,"NAN","NAN","NAN","NAN",3.936
"2026-01-01 02:10:00",39674,4.8,19.2,1.22,1.14,"NAN","NAN","NAN","NAN",3.943
"2026-01-01 02:20:00",39675,4.95,19.82,1.5,1.41,"NAN","NAN","NAN","NAN",3.956
"2026-01-01 02:30:00",39676,4.74,18.97,1.31,1.23,"NAN","NAN","NAN","NAN",3.939
"2026-01-01 02:40:00",39677,5.01,20.06,1.49,1.4,"NAN","NAN","NAN","NAN",3.941
"2026-01-01 02:50:00",39678,4.89,19.58,1.51,1.42,"NAN","NAN","NAN","NAN",3.932
"2026-01-01 03:00:00",39679,4,15.96,1.17,1.09,"NAN","NAN","NAN","NAN",3.921
"2026-01-01 03:10:00",39680,4.83,19.33,1.41,1.33,"NAN","NAN","NAN","NAN",3.919
"2026-01-01 03:20:00",39681,4.69,18.78,1.37,1.28,"NAN","NAN","NAN","NAN",3.924
"2026-01-01 03:30:00",39682,6.28,25.18,1.46,1.38,"NAN","NAN","NAN","NAN",3.911
"2026-01-01 03:40:00",39683,4.65,18.62,1.25,1.16,"NAN","NAN","NAN","NAN",3.882
"2026-01-01 03:50:00",39684,4.36,17.43,1.19,1.11,"NAN","NAN","NAN","NAN",3.901
"2026-01-01 04:00:00",39685,4.26,17.05,1.14,1.05,"NAN","NAN","NAN","NAN",3.885
"2026-01-01 04:10:00",39686,4.12,16.45,1.09,1.01,"NAN","NAN","NAN","NAN",3.895
"2026-01-01 04:20:00",39687,4.71,18.86,1.4,1.31,"NAN","NAN","NAN","NAN",3.872
"2026-01-01 04:30:00",39688,4.34,17.37,1.19,1.11,"NAN","NAN","NAN","NAN",3.878
"2026-01-01 04:40:00",39689,4.41,17.62,1.42,1.33,"NAN","NAN","NAN","NAN",3.879
"2026-01-01 04:50:00",39690,4.24,16.95,1.21,1.13,"NAN","NAN","NAN","NAN",3.865
"2026-01-01 05:00:00",39691,4.11,16.43,1.08,1,"NAN","NAN","NAN","NAN",3.855
"2026-01-01 05:10:00",39692,4.21,16.84,1.23,1.15,"NAN","NAN","NAN","NAN",3.852
"2026-01-01 05:20:00",39693,4.51,18.05,1.23,1.15,"NAN","NAN","NAN","NAN",3.839
"2026-01-01 05:30:00",39694,4.11,16.43,1.09,1.01,"NAN","NAN","NAN","NAN",3.832
"2026-01-01 05:40:00",39695,4.73,18.91,1.32,1.24,"NAN","NAN","NAN","NAN",3.837
"2026-01-01 05:50:00",39696,3.68,14.7,1.06,0.99,"NAN","NAN","NAN","NAN",3.85
"2026-01-01 06:00:00",39697,4.24,16.97,1.13,1.05,"NAN","NAN","NAN","NAN",3.846
"2026-01-01 06:10:00",39698,4.48,17.92,1.3,1.22,"NAN","NAN","NAN","NAN",3.848
"2026-01-01 06:20:00",39699,4.95,19.81,1.49,1.4,"NAN","NAN","NAN","NAN",3.835
"2026-01-01 06:30:00",39700,4.05,16.2,1.26,1.18,"NAN","NAN","NAN","NAN",3.838
"2026-01-01 06:40:00",39701,4.14,16.53,1.08,1,"NAN","NAN","NAN","NAN",3.835
