Reservoir; Site; DataStream; TIMESTAMP_start; TIMESTAMP_end; start_parameter; end_parameter; flag;update_value;adjustment_code; notes
FCR;50; CAT; 2018-07-05 00:00:00 EST; 2018-08-20 14:40:00 EST; RDO_mgL_9; NA;2; NA; NA; incorrectly calibrated-needs correcting to match factory value
FCR;50; CAT; 2018-09-25 10:40:00 EST; 2018-09-25 10:55:00 EST; RDO_mgL_5; RDOsat_percent_5;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2018-10-01 00:00:00 EST; 2019-03-01 00:00:00 EST; EXOChla_RFU_1; EXOBGAPC_ugL_1;4; NA; NA; major outliers during the winter of 2018 going into 2019 due to fouling. Remove greater than 4sd above the mean
FCR;50; CAT; 2018-11-19 12:00:00 EST; 2018-11-19 13:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA;  sensor string up for cleaning
FCR;50; CAT; 2018-11-19 15:00:00 EST; 2018-11-20 12:20:00 EST; RDO_mgL_9; RDOsat_percent_9;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2018-12-17 10:20:00 EST; 2018-12-17 13:15:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-01-15 12:50:00 EST; 2019-01-15 13:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning  EXO only
FCR;50; CAT; 2019-02-08 12:50:00 EST; 2019-02-08 13:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up
FCR;50; CAT; 2019-04-15 09:51:00 EST; 2019-04-15 09:51:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;5; NA; NA; switched time GMT-4 to GMT-5
FCR;50; CAT; 2019-06-17 11:10:00 EST; 2019-06-17 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-06-17 13:50:00 EST; 2019-06-17 15:40:00 EST; RDO_mgL_5; RDOsat_percent_5;2; NA; NA; removing questionable DO values
FCR;50; CAT; 2019-07-13 00:00:00 EST; 2019-07-17 11:40:00 EST; RDO_mgL_5; RDOsat_percent_5;5; NA; NA; questionable DO values but leaving in 
FCR;50; CAT; 2019-07-17 11:50:00 EST; 2019-07-17 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;5; NA; NA; sensor string disturbed during field work
FCR;50; CAT; 2019-07-17 12:35:00 EST; 2019-07-17 12:55:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-08-05 12:45:00 EST; 2019-08-12 12:40:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime,start, units = 'mins')))/70; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-08-05 12:45:00 EST; 2019-08-12 12:40:00 EST; RDOsat_percent_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start,  units = 'mins')))/70/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-08-11 00:00:00 EST; 2019-08-12 12:35:00 EST; RDO_mgL_5; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime,start, units = 'mins')))/30; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-08-11 00:00:00 EST; 2019-08-12 12:35:00 EST; RDOsat_percent_5; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start,  units = 'mins')))/30/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-08-12 12:40:00 EST; 2019-08-12 13:05:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-09-02 13:00:00 EST; 2020-09-27 12:30:00 EST; RDO_mgL_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/3000; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-09-02 13:00:00 EST; 2020-09-27 12:30:00 EST; RDOsat_percent_9; NA; 6; NA; sqrt(as.numeric(difftime(dt$DateTime, start, units = 'mins')))/3000/11.3*100; apparent fouling on DO sensor and corrected with linear adjustment
FCR;50; CAT; 2019-09-27 12:25:00 EST; 2019-09-27 12:55:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-10-07 09:30:00 EST; 2019-10-07 10:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-10-11 11:00:00 EST; 2019-10-11 12:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-10-23 10:35:00 EST; 2019-10-23 10:45:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-11-15 11:50:00 EST; 2019-11-15 11:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2019-12-06 13:35:00 EST; 2019-12-06 13:50:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-01-31 12:00:00 EST; 2020-01-31 12:40:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for cleaning
FCR;50; CAT; 2020-03-06 10:20:00 EST; 2020-03-06 11:00:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; sensor string up for installing CO2 sensors
FCR;50; CAT; 2020-03-16 11:50:00 EST; 2020-03-16 12:10:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; EXO up for cleaning NEED TIME if applicable
FCR;50; CAT; 2020-04-10 12:01:00 EST; 2020-04-10 12:02:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;5; NA; NA; CO2 surface sensors moved onto temp string
FCR;50; CAT; 2020-04-10 12:01:00 EST; 2020-04-10 12:02:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;5; NA; NA; scan deployed at 4.5m
FCR;50; CAT; 2020-04-20 12:01:00 EST; 2020-04-20 12:02:00 EST; ThermistorTemp_C_surface; LvlTemp_C_9;1; NA; NA; scans cleaned temp string not recorded as cleaned
