DOY,IR_down_average,IR_down_sd
1,346.761,8.643
2,344.772,3.34
3,344.853,4.364
4,339.142,7.469
5,326.093,3.085
6,323.624,4.985
7,320.789,8.691
8,315.507,18.302
9,318.57,22.572
10,324.628,18.095
11,322.384,4.181
12,327.97,10.09
13,330.694,12.756
14,335.363,7.779
15,337.791,7.327
16,337.289,4.393
17,335.956,10.238
18,330.131,19.666
19,320.25,23.964
20,326.102,22.571
21,326.997,23.555
22,323.184,34.604
23,322.928,28.078
24,323.106,23.534
25,330.57,20.842
26,335.66,18.042
27,327.358,11.661
28,321.755,14.806
29,325.142,11.997
30,319.627,8.957
31,327.976,14.195
32,337.181,10.566
33,335.685,6.106
34,336.329,12.007
35,326.098,8.882
36,328.015,7.965
37,325.069,6.51
38,326.308,4.915
39,327.685,4.186
40,322.867,2.524
41,316.784,1.798
42,311.941,2.483
43,315.396,4.726
44,309.518,4.666
45,297.442,6.361
46,294.601,13.152
47,319.431,3.381
48,318.295,2.289
49,314.036,2.604
50,316.971,7.235
51,331.339,9.254
52,346.465,9.293
53,341.744,2.943
54,338.658,1.899
55,346.928,9.12
56,335.919,1.156
57,329.159,2.557
58,332.431,5.307
59,351.281,12.162
60,356.467,9.578
61,358.626,14.131
62,339.37,7.501
63,333.756,2.913
64,340.493,6.63
65,342.742,7.625
66,347.936,5.028
67,355.964,14.517
68,373.335,8.01
69,375.716,11.781
70,384.296,10.792
71,395.589,4.608
72,391.364,6.23
73,393.333,6.994
74,383.632,2.1
75,391.879,14.944
76,396.152,14.737
77,389.074,10.658
78,383.924,12.907
79,367.992,6.395
80,358.992,3.458
81,358.548,6.299
82,366.137,10.585
83,374.382,12.773
84,381.292,11.575
85,387.201,5.939
86,373.123,4.399
87,377.823,3.104
88,381.719,7.915
89,375.395,7.276
90,377.599,9.769
91,388.761,6.624
92,397.438,8.012
93,384.203,7.428
94,372.884,15.38
95,384.686,11.894
96,365.468,5.081
97,367.399,8.898
98,374.257,5.98
99,364.109,4.936
100,353.697,3.229
101,357.218,12.142
102,380.692,12.903
103,384.589,4.474
104,373.468,8.678
105,378.483,11.028
106,379.323,10.308
