Reservoir;Site;DataStream; TIMESTAMP_start; TIMESTAMP_end;start_parameter;end_parameter;flag;update_value;adjustment_code; notes
FCR;100;WEIR;2014-03-20 09:00:00 EST;2014-04-28 05:45:00 EST;WVWA_Baro_pressure_psi;WVWA_Flow_cms;2;NA;NA;bad WVWA barometric pressure readings
FCR;100;WEIR;2016-04-18 15:15:00 EST;2019-06-07 00:00:00 EST;WVWA_Pressure_psia;NA;1;-0.14;NA;WVWA Pressure down corrected after sensor maintenance by 0.14
FCR;100;RATING;2013-05-15 15:00:00 EST;2019-06-07 00:00:00 EST;WVWA_Flow_cms;NA;100;NA;NA;rectangular weir
FCR;100;WEIR;2017-10-15 05:00:00 EST;2017-11-13 10:45:00 EST;WVWA_Pressure_psi;NA;5;NA;NA;leaking weir and remove values
FCR;100;WEIR;2017-10-15 05:00:00 EST;2017-11-13 10:45:00 EST;WVWA_Pressure_psia;WVWA_Temp_C;5;NA;NA;leaking weir and remove values
FCR;100;WEIR;2019-04-22 00:00:00 EST;2019-06-07 00:00:00 EST;VT_Flow_cms;NA;4;NA;NA;weir un-plugged demonic intrusion. No rating curve
FCR;100;WEIR;2019-06-03 00:00:00 EST;2019-06-07 00:00:00 EST;WVWA_Flow_cms;NA;14;NA;NA;weir un-plugged demonic intrusion and downcorrected values
FCR;100;WEIR;2020-05-14 17:00:00 EST;2020-08-24 15:00:00 EST;WVWA_Pressure_psi;WVWA_Temp_C;7;NA;NA;missing WVAW data due to user error
FCR;100;WEIR;2020-07-20 10:00:00 EST;2020-08-24 14:49:00 EST;WVWA_Pressure_psi; VT_Temp_C;24;NA;NA;Weir blown out and flow diverted around the weir
FCR;100;RATING;2019-06-07 00:15:00 EST;2020-08-24 13:00:00 EST;WVWA_Flow_cms;NA;101;NA;NA;original installation of the V-Notch weir until weir blown out and fixed
FCR;100;RATING;2019-06-07 00:15:00 EST;2020-08-24 13:00:00 EST;VT_Flow_cms;NA;101;NA;NA;original installation of the V-Notch weir until weir blown out and fixed
FCR;100;WEIR;2020-08-13 09:00:00 EST;2020-08-24 14:49:00 EST;WVWA_Pressure_psi;VT_Temp_C;8;NA;NA;the ISCO and all the sensors were removed so the weir could be fixed
FCR;100;RATING;2020-08-24 15:00:00 EST;2020-09-02 13:15:00 EST;WVWA_Flow_cms;NA;101;NA;NA;V-notch weir post blow-out but before final pressure transducer location
FCR;100;RATING;2020-08-24 15:00:00 EST;2020-09-02 13:15:00 EST;VT_Flow_cms;NA;101;NA;NA;V-notch weir post blow-out but before final pressure transducer location
FCR;100;WEIR;2020-09-02 13:15:00 EST;2020-09-02 13:45:00 EST;WVWA_Pressure_psi; VT_Temp_C;8;NA;NA;moved the sensors from vertical to horizontal
FCR;100;RATING;2020-09-02 13:45:00 EST;2021-11-08 13:45:00 EST;WVWA_Flow_cms;NA;101;NA;NA;Moved when had to replace the battery in the WVWA sensor
FCR;100;RATING;2020-09-02 13:45:00 EST;2021-11-08 13:45:00 EST;VT_Flow_cms;NA;101;NA;NA;Moved when had to replace the battery in the WVWA sensor
FCR;100;WEIR;2021-11-08 13:30:00 EST;2021-11-08 13:45:00 EST;WVWA_Pressure_psi;VT_Temp_C;8;NA;NA;removed to replace batteries in WVWA sensor
FCR;100;WEIR;2021-11-08 13:45:00 EST;2022-11-16 16:38:00 EST;VT_Pressure_psia;NA;1;0.033;NA;VT pressure up corrected after sensor maintenance by 0.033 so inline with WVWA sensor
FCR;100;WEIR;2022-03-12 10:15:00 EST;2022-03-12 10:45:00 EST;WVWA_Baro_pressure_psi;WVWA_Flow_cms;2;NA;NA;bad WVWA barometric pressure readings
FCR;100;WEIR;2022-03-13 08:15:00 EST;2022-03-13 11:15:00 EST;WVWA_Baro_pressure_psi;WVWA_Flow_cms;2;NA;NA;bad WVWA barometric pressure readings
FCR;100;RATING;2021-11-08 14:00:00 EST;2022-05-09 13:15:00 EST;WVWA_Flow_cms;NA;101;NA;NA;Moved when the weir was cleaned out
FCR;100;RATING;2021-11-08 14:00:00 EST;2022-05-09 13:15:00 EST;VT_Flow_cms;NA;101;NA;NA;Moved when the weir was cleaned out
FCR;100;WEIR;2022-05-09 09:15:00 EST;2022-05-09 13:15:00 EST;WVWA_Pressure_psi;VT_Temp_C;8;NA;NA;removed to clean out the weir
FCR;100;WEIR;2022-07-21 18:45:00 EST;2022-07-21 21:30:00 EST;WVWA_Baro_pressure_psi;WVWA_Flow_cms;2;NA;NA;bad WVWA barometric pressure readings
FCR;100;WEIR;2022-07-22 15:00:00 EST;2022-07-22 15:15:00 EST;WVWA_Baro_pressure_psi; WVWA_Flow_cms;2;NA;NA;bad WVWA barometric pressure readings
