Reservoir,Site,DateTime,ThermistorTemp_C_surface,ThermistorTemp_C_1,ThermistorTemp_C_2,ThermistorTemp_C_3,ThermistorTemp_C_4,ThermistorTemp_C_5,ThermistorTemp_C_6,ThermistorTemp_C_7,ThermistorTemp_C_8,ThermistorTemp_C_9,RDO_mgL_5,RDOsat_percent_5,RDO_mgL_5_adjusted,RDOsat_percent_5_adjusted,RDOTemp_C_5,RDO_mgL_9,RDOsat_percent_9,RDO_mgL_9_adjusted,RDOsat_percent_9_adjusted,RDOTemp_C_9,EXOTemp_C_1,EXOCond_uScm_1,EXOSpCond_uScm_1,EXOTDS_mgL_1,EXODOsat_percent_1,EXODO_mgL_1,EXOChla_RFU_1,EXOChla_ugL_1,EXOBGAPC_RFU_1,EXOBGAPC_ugL_1,EXOfDOM_RFU_1,EXOfDOM_QSU_1,EXOTurbidity_FNU_1,EXOPressure_psi,EXODepth_m,EXOBattery_V,EXOCablepower_V,EXOWiper_V,LvlPressure_psi_9,LvlTemp_C_9,LvlDepth_m_9,RECORD,CR6Battery_V,CR6Panel_Temp_C,Flag_ThermistorTemp_C_surface,Flag_ThermistorTemp_C_1,Flag_ThermistorTemp_C_2,Flag_ThermistorTemp_C_3,Flag_ThermistorTemp_C_4,Flag_ThermistorTemp_C_5,Flag_ThermistorTemp_C_6,Flag_ThermistorTemp_C_7,Flag_ThermistorTemp_C_8,Flag_ThermistorTemp_C_9,Flag_RDO_mgL_5,Flag_RDOsat_percent_5,Flag_RDOTemp_C_5,Flag_RDO_mgL_9,Flag_RDOsat_percent_9,Flag_RDOTemp_C_9,Flag_EXOTemp_C_1,Flag_EXOCond_uScm_1,Flag_EXOSpCond_uScm_1,Flag_EXOTDS_mgL_1,Flag_EXODOsat_percent_1,Flag_EXODO_mgL_1,Flag_EXOChla_RFU_1,Flag_EXOChla_ugL_1,Flag_EXOBGAPC_RFU_1,Flag_EXOBGAPC_ugL_1,Flag_EXOfDOM_RFU_1,Flag_EXOfDOM_QSU_1,Flag_EXOTurbidity_FNU_1,Flag_EXOPressure_psi,Flag_EXODepth_m,Flag_EXOBattery_V,Flag_EXOCablepower_V,Flag_EXOWiper_V,Flag_LvlPressure_psi_9,Flag_LvlTemp_C_9
FCR,50,2025-01-01 00:00:00,4.979852,4.921899,5.018823,4.947442,4.73562,4.703576,4.739038,4.708795,4.667108,4.609491,11.61509,90.52998,11.61509,90.52998,4.818611,10.58787,81.97586,10.58787,81.97586,4.562233,4.979,23.48,38.01,24.71,91.18,11.65,6.05,26.47,0.9,0.99,6.23,19.12,2.41,3.19,2.25,6.14,10.76,1.19,13.15827,4.59878,9.2706591285,31332,12.26,12.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 00:10:00,4.952081,4.889948,4.993707,4.959161,4.736902,4.705896,4.745508,4.728082,4.660638,4.608728,11.63421,90.66613,11.63421,90.66613,4.813103,10.53469,81.56064,10.53469,81.56064,4.56057,4.95,23.49,38.07,24.75,90.79,11.61,8.060001,35.23,1,1.09,6.23,19.14,2.43,3.2,2.251,6.15,10.76,1.19,13.16844,4.595993,9.277824402,31333,12.27,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 00:20:00,4.928644,4.871088,4.963464,4.918054,4.726282,4.709253,4.754236,4.725336,4.653711,4.606592,11.6403,90.71682,11.6403,90.71682,4.814453,10.54318,81.6278,10.54318,81.6278,4.561241,4.941,23.49,38.08,24.75,90.63,11.59,6.59,28.8,0.77,0.84,6.23,19.13,2.43,3.2,2.252,6.14,10.75,1.19,13.16553,4.594374,9.275774161500001,31334,12.26,12.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 00:30:00,4.927087,4.867548,4.921167,4.879694,4.706537,4.713617,4.752649,4.707849,4.639886,4.603265,11.66018,90.88658,11.66018,90.88658,4.820778,10.53485,81.55708,10.53485,81.55708,4.55822,4.926,23.5,38.12,24.78,90.38,11.56,7.05,30.82,1.01,1.11,6.25,19.21,2.4,3.2,2.256,6.15,10.77,1.19,13.16404,4.59201,9.274724382,31335,12.27,12.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 00:40:00,4.917016,4.855615,4.887598,4.83053,4.683069,4.711053,4.736352,4.67312,4.628046,4.597894,11.64346,90.75622,11.64346,90.75622,4.820778,10.56396,81.7525,10.56396,81.7525,4.544182,4.918,23.5,38.13,24.78,90.26,11.55,5.78,25.28,0.81,0.88,6.26,19.21,2.34,3.21,2.261,6.14,10.78,1.19,13.14209,4.587817,9.2592595095,31336,12.26,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 00:50:00,4.964594,4.872369,4.869134,4.796258,4.6802,4.707117,4.720331,4.651819,4.619318,4.594812,11.64083,90.71846,11.64083,90.71846,4.813446,10.61447,82.13432,10.61447,82.13432,4.539993,4.933,23.49,38.09,24.76,90.49,11.58,6.15,26.92,0.73,0.79,6.22,19.1,2.37,3.2,2.258,6.14,10.77,1.19,13.15646,4.584018,9.269383892999999,31337,12.27,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 01:00:00,5.000604,4.906518,4.958704,4.785974,4.676996,4.709466,4.68252,4.643732,4.614709,4.590631,11.63593,90.6959,11.63593,90.6959,4.820107,10.64569,82.37107,10.64569,82.37107,4.537819,4.956,23.49,38.06,24.74,90.71,11.6,7.41,32.39,0.81,0.89,6.22,19.11,2.34,3.2,2.258,6.14,10.75,1.19,13.15976,4.580459,9.271708908,31338,12.25,12.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 01:10:00,5.019098,4.93612,4.972925,4.788995,4.6863340000000004,4.70849,4.695856,4.648523,4.625116,4.603387,11.64342,90.76844,11.64342,90.76844,4.826103,10.68961,82.76483,10.68961,82.76483,4.562744,4.969,23.47,38.02,24.71,90.9,11.62,7.61,33.26,0.86,0.94,6.22,19.1,2.31,3.2,2.258,6.15,10.76,1.19,13.17012,4.592024,9.279008046000001,31339,12.25,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 01:20:00,5.025446,4.938714,4.990503,4.800073,4.679468,4.708887,4.70672,4.696649,4.638971,4.612512,11.5926,90.38796,11.5926,90.38796,4.832779,10.67399,82.64225,10.67399,82.64225,4.562073,4.995,23.46,37.97,24.68,91.15,11.64,8.04,35.12,1.17,1.29,6.22,19.09,2.31,3.21,2.259,6.14,10.76,1.19,13.16925,4.604031,9.2783950875,31340,12.26,11.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-01 01:30:00,5.01217,4.937036,4.975427,4.81048,4.736383,4.763696,4.791742,4.824487,4.709344,4.619958,11.62103,90.61898,11.62103,90.61898,4.836769,10.71018,82.92334,10.71018,82.92334,4.562401,4.989,23.46,37.98,24.69,91.09,11.64,6.23,27.25,0.7,0.76,6.22,19.1,2.35,3.2,2.258,6.15,10.75,1.19,13.16669,4.606861,9.276591439499999,31341,12.23,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
